"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 23 23:30:03 GMT 2022","Wed Feb 23 23:30:05 GMT 2022","2190","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesBirthDateInvalid","AVINTY-012 Add on relative (all datas are valid but birth date is invalid)",""
"failed","Wed Feb 23 23:30:05 GMT 2022","Wed Feb 23 23:30:07 GMT 2022","2172","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesCancelTheProgress","AVINTY-013 Add on relative (all datas valid), but cancel the progress",""
"passed","Wed Feb 23 23:29:45 GMT 2022","Wed Feb 23 23:29:51 GMT 2022","6265","","tests.BasePageTest","","tests.BasePageTest","goToLandingPage","Testing test enviroment is ready. Navigate to BasePage",""
"skipped","Wed Feb 23 23:29:53 GMT 2022","Wed Feb 23 23:29:53 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deletePatientWithRelatives","AVINTY-004 Delete patient who has relatives",""
"failed","Wed Feb 23 23:30:12 GMT 2022","Wed Feb 23 23:30:14 GMT 2022","2201","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesBirthDateFieldEmpty","AVINTY-016 Add on relative but leave ""Birth date"" field empty",""
"skipped","Wed Feb 23 23:30:16 GMT 2022","Wed Feb 23 23:30:16 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasPhoneNumberValid","AVINTY-020 Edit relative datas (all datas and phone number valid)",""
"skipped","Wed Feb 23 23:30:16 GMT 2022","Wed Feb 23 23:30:16 GMT 2022","1","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasPhoneNumberInvalid","AVINTY-021 Edit relative datas (all datas valid but phone number invalid)",""
"skipped","Wed Feb 23 23:30:16 GMT 2022","Wed Feb 23 23:30:16 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","namesSortedABCOrder","AVINTY-024 Relatives are sorted in ABC order by their names",""
"skipped","Wed Feb 23 23:29:53 GMT 2022","Wed Feb 23 23:29:53 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deleteARelativeButCancelTheProcess","AVINTY-006 Delete a relative, but cancel the process",""
"passed","Wed Feb 23 23:29:56 GMT 2022","Wed Feb 23 23:29:59 GMT 2022","2214","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesAllDatasValid","AVINTY-009 Add on relative (all datas are valid)",""
"failed","Wed Feb 23 23:30:09 GMT 2022","Wed Feb 23 23:30:12 GMT 2022","2124","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesLastNameFieldEmpty","AVINTY-015 Add on relative but leave ""Last name"" field empty",""
"passed","Wed Feb 23 23:29:55 GMT 2022","Wed Feb 23 23:29:56 GMT 2022","1819","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesButton","AVINTY-008 Check add on relative button",""
"skipped","Wed Feb 23 23:29:53 GMT 2022","Wed Feb 23 23:29:53 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deletePatientNoRelatives","AVINTY-002 Delete patient who has no relative",""
"skipped","Wed Feb 23 23:30:16 GMT 2022","Wed Feb 23 23:30:16 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasModifyRelationshipDropdown","AVINTY-023 Edit relative datas, modify the Relationship dropdown",""
"failed","Wed Feb 23 23:29:59 GMT 2022","Wed Feb 23 23:30:01 GMT 2022","2214","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesAllDatasValidAndPhoneNumerToo","AVINTY-010 Add on relative (all datas are valid and phone number too)",""
"passed","Wed Feb 23 23:29:51 GMT 2022","Wed Feb 23 23:29:53 GMT 2022","1678","","tests.BasePageTest","","tests.BasePageTest","clickingOnPatientName","AVINTY-001 Clicking on a patient name",""
"skipped","Wed Feb 23 23:29:53 GMT 2022","Wed Feb 23 23:29:53 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deleteARelative","AVINTY-005 Delete a relative",""
"failed","Wed Feb 23 23:30:01 GMT 2022","Wed Feb 23 23:30:03 GMT 2022","2161","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesPhoneNumerInvalid","AVINTY-011 Add on relative (all datas are valid but phone number is invalid)",""
"passed","Wed Feb 23 23:30:07 GMT 2022","Wed Feb 23 23:30:09 GMT 2022","2116","","tests.BasePageTest","","tests.BasePageTest","addOnRelativesFirstNameFieldEmpty","AVINTY-014 Add on relative but leave ""First name"" field empty",""
"skipped","Wed Feb 23 23:30:16 GMT 2022","Wed Feb 23 23:30:16 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","editRelativeDatasCancelTheProcess","AVINTY-019 Edit relative datas, but cancel the progress",""
"skipped","Wed Feb 23 23:29:53 GMT 2022","Wed Feb 23 23:29:53 GMT 2022","0","","tests.BasePageTest","","tests.BasePageTest","deletePatientNoRelativesButCancelTheProcess","AVINTY-003 Delete patient who has no relatives but cancel the progress at the end",""
